period;campaign_id;amount; Shows; Clicks;Convertion
Февраль;874410;18326,43783;27001;330;1
Март;874410;3104,67515;3661;54;1
Февраль;874411;18292,38836;22859;335;1
Март;874411;3125,90294;3494;39;1
Февраль;874412;18229,51883;23025;345;1
Март;874412;3172,363;2474;52;1
Февраль;885333;38955,17;335608;3573;1
Февраль;885647;34413,26;326344;2280;1
Февраль;886338;17260,92;53876;276;1
Февраль;886439;38819,76;337891;3914;1
Февраль;886469;34445,47;298284;2094;1
Февраль;886507;17410,11;48192;276;1
Февраль;917656;78156,71;589060;1712;1
Февраль;919041;20804,33;174516;475;1
Февраль;927126;18068,05132;313012;102;1
Март;927126;961,64366;19807;5;1
Февраль;927336;17086,48;151913;271;1
Февраль;877;18750,55;44656;361;1
Март;877;41547,92;100732;759;1
Февраль;2033;4987,28;24802;89;1
Февраль;16649;25148,73;180238;740;1
Февраль;16816;25138,55;185694;773;1
Февраль;27340;64377,42;192074;1362;1
Март;27340;115709,37;328072;4136;1
Февраль;27341;64316,06;225779;1361;1
Март;27341;115564,98;409597;4258;1
Февраль;27342;64457,01;192325;1402;1
Март;27342;115577,84;336864;4244;1
Февраль;27343;64425,04;196972;1407;1
Март;27343;115715,76;324124;3771;1
Февраль;27601;54279,75;228539;1217;1
Март;27601;84425,01;401683;2502;1
Февраль;27602;54220,6;217067;1241;1
Март;27602;27740;105127;580;1
Февраль;27603;54211,23;247596;1196;1
Март;27603;28110;136233;582;1
Февраль;27604;54372,85;216752;1240;1
Март;27604;84753,83;399063;2383;1
Февраль;27944;36410,55;135482;351;1
Март;27944;31996,12;126968;315;1
Февраль;27945;36349,94;113886;366;1
Март;27945;32153,12;109311;322;1
Февраль;27946;36332,06;119811;360;1
Март;27946;30420,98;117639;311;1
Февраль;27947;37178,74;151792;707;1
Март;27947;36964,79;193527;870;1
Февраль;27948;36049,34;117225;372;1
Март;27948;31764,45;118775;342;1
Февраль;27949;36929,38;159650;735;1
Март;27949;14150;68448;260;1
Февраль;28233;37392,56;235098;1376;1
Март;28233;55982,01;368818;4823;1
Февраль;28234;37270,68;235349;1403;1
Март;28234;18140;117722;590;1
Февраль;28236;37610;216396;1258;1
Март;28236;18140;107204;613;1
Февраль;28237;37418,2;222464;1315;1
Март;28237;56181,36;340058;4859;1
Февраль;29191;22608,47;108821;512;1
Март;29191;38528,6;178032;830;1
Февраль;29192;0;5;0;1
Март;29192;0;9;0;1
Февраль;29193;22610;120297;465;1
Март;29193;38477,19;188125;803;1
Февраль;29194;0;10;0;1
Март;29194;0;11;0;1
Февраль;29195;22602,64;124613;509;1
Март;29195;38511,93;180514;830;1
Февраль;29196;0;8;0;1
Март;29196;0;18;0;1
Февраль;29197;22610;115292;519;1
Март;29197;38512,12;182281;798;1
Февраль;29198;0;6;0;1
Март;29198;0;7;0;1
Февраль;31908;39573,46;254752;2241;1
Март;31908;58087,74;279241;1692;1
Февраль;31911;39452,14;271374;2386;1
Март;31911;58525,07;290671;1876;1
Февраль;31914;39815,97;266485;2421;1
Март;31914;52112,54;325674;1902;1
Февраль;31915;39367,16;258709;2270;1
Март;31915;57503,22;320930;1788;1
Февраль;31916;42295,53;451712;4994;1
Март;31916;37215,87;330193;4145;1
Февраль;31917;42213,78;508476;5373;1
Март;31917;37647,98;401260;4795;1
Февраль;31919;41613,84;467582;5197;1
Март;31919;16089,32;138877;2096;1
Февраль;31920;40894,31;485449;4785;1
Март;31920;16085,5;149716;1803;1
Февраль;31921;24165,39;80485;883;1
Март;31921;28655,62;52979;271;1
Февраль;31922;24651,01;87252;879;1
Март;31922;33798,63;68439;334;1
Февраль;31924;23694,21;93741;941;1
Март;31924;32071,54;60962;291;1
Февраль;31925;23520,64;78812;880;1
Март;31925;39781,06;55943;258;1
Февраль;31926;26835,58;218729;2042;1
Март;31926;12677,96;106162;742;1
Февраль;31927;26137,25;207236;2022;1
Март;31927;13007,51;103083;771;1
Февраль;31928;26484,04;243720;3945;1
Март;31928;10077,37;83505;1579;1
Февраль;31929;25687,6;244865;4043;1
Март;31929;9478,64;86992;1675;1
Февраль;31930;24274,48;231862;4032;1
Март;31930;25495,29;215542;3609;1
Февраль;31932;25788,85;248213;3751;1
Март;31932;25519,03;238891;3065;1
Февраль;31933;23464,11;133662;1106;1
Март;31933;62913,86;156809;850;1
Февраль;31935;23745,72;143747;1216;1
Март;31935;68745,38;226542;1168;1
Февраль;31937;22929,48;146061;1239;1
Март;31937;68268,78;199939;1127;1
